cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24088_8_331,24008515-77d7-46c0-a1bc-925054a74d11,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_7_126,768bce02-dda0-454b-862e-3c507e39dd82,decidual macrophage type 2,CL:0000235,macrophage
23728_8_289,dd86fbaf-99ce-4c85-9974-6e78c8374ff1,NA,NA,NA
24087_8_22,42d1c46a-1ee6-479c-88ef-54911316eef1,NA,NA,NA
24087_4_296,616e3b28-318a-4b1a-8623-a23cb2b31980,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
24088_8_99,71f165cd-6054-41dc-8e94-d88c296e00fb,decidual macrophage type 2,CL:0000235,macrophage
24087_8_244,a633691e-4e08-4273-bb7b-09e3180465f4,NA,NA,NA
24088_7_356,6b1fbd21-95e9-4bf7-be69-79141da9f5a2,placental extravillous trophoblast cell,CL:0008036,extravillous trophoblast cell
24088_7_52,ae2cef59-46aa-4b95-84d0-abde7e474b17,decidual macrophage type 1,CL:0000235,macrophage
24087_2_146,c7bdde0c-5f4a-4d52-b808-abb227535c29,villous cytotrophoblast cell,CL:2000060,placental villous trophoblast
23728_5_324,5a225ab2-2273-4b8f-9b01-430b78d2f9fd,NA,NA,NA
24087_1_293,c6b2c17e-46b1-47ad-8219-a9720d5cf87d,NA,NA,NA
24087_1_370,7a6ee46d-0364-4790-8aba-bec4a5db2702,NA,NA,NA
24088_7_45,39341b7a-9107-47ec-a95b-6a7ff10d471a,T cell,CL:0000084,T cell
23728_5_335,f88b93b0-c81e-4851-a963-e3bee885c3f9,NA,NA,NA
23728_5_191,df027923-604d-48e7-8a2f-23806fd8488e,NA,NA,NA
23728_3_175,82845531-1dec-41bd-97f3-615675348584,decidual macrophage type 2,CL:0000235,macrophage
23728_4_345,13b51be6-b2ae-416a-b00f-d4d864d76428,NA,NA,NA
24087_3_88,a301c47c-c9e7-4713-ae43-8129220eff92,T cell,CL:0000084,T cell
24087_1_355,82f4e1d8-09be-4651-9ff0-daa045927829,NA,NA,NA
24087_4_353,8165f1ae-e78f-444b-a106-ce2739106818,decidual stromal cell type 2,CL:2000002,decidual cell
24087_6_102,28d7d694-c16e-41b2-9f62-f3b6da29de4a,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_6_16,0458d440-8260-4b90-a304-3281e47234a9,NA,NA,NA
24087_3_102,f8efdc1b-aac0-4128-b1d4-f3b55ee10792,decidual macrophage type 1,CL:0000235,macrophage
24087_7_255,a627b6ce-d1d6-488e-b18b-c948166218f7,NA,NA,NA
23728_5_175,3e17ef75-3c09-4e64-9889-9906c6d0dd61,NA,NA,NA
24087_7_251,6c78f699-ab10-4d59-ae40-0295829051df,NA,NA,NA
24088_8_234,88f785fb-44b1-4117-a1bb-8c259ba11e8e,NA,NA,NA
24087_5_148,e205974d-ad9a-40ab-9339-5a937324cecf,decidual macrophage type 2,CL:0000235,macrophage
24087_1_262,c86062e3-839b-45c0-98bf-6b1fbce5cd98,NA,NA,NA
24088_4_305,7cad3a13-4755-45ed-bb33-2da3e506eb62,decidual perivascular cell type 2,CL:0008033,decidual perivascular cell
23728_3_173,f824f29b-b4bf-4665-8e9f-bc9379997946,decidual macrophage type 2,CL:0000235,macrophage
24087_6_336,dd941552-7204-4582-a713-cffb6ef99331,NA,NA,NA
23728_6_89,4c4aa7c8-1392-447c-87a4-122d99d30bed,decidual stromal cell type 3,CL:2000002,decidual cell
23728_4_251,ca3f40ba-3c1d-42f5-a60c-99fe7e87e45f,NA,NA,NA
24087_8_212,24073416-0f28-4214-a744-a3bf51b56982,NA,NA,NA
24087_3_306,bb11a567-e672-47da-b92d-47029203ef9d,decidual stromal cell type 1,CL:2000002,decidual cell
24087_2_163,4dd433ec-eb82-40a7-8045-57d16608b919,T cell,CL:0000084,T cell
24087_6_276,a3a546f9-15c1-4015-95d4-382199bcb0af,NA,NA,NA
24087_8_344,d018256a-d823-4c31-bb68-f0ca021ea875,NA,NA,NA
23728_5_378,548c6b30-efbb-4f5d-980c-9feddfe702b8,NA,NA,NA
24087_4_135,77b98684-4413-4cc8-9251-1182362a9c11,T cell,CL:0000084,T cell
24087_5_207,7a778a4f-b955-48b9-8448-fee94183adbf,NA,NA,NA
24087_7_57,bad4a449-33af-44bc-bdc8-3fb2fa202df8,decidual macrophage type 1,CL:0000235,macrophage
24088_8_371,a824b79d-d52d-4a01-a387-28fd97166e59,placental extravillous trophoblast cell,CL:0008036,extravillous trophoblast cell
24087_8_318,68a91402-d378-4645-befc-c8a664f50653,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
24087_7_59,d18b3845-b40c-4116-882b-1648ae603d3b,T cell,CL:0000084,T cell
24087_3_171,cef7b0bd-883e-4d63-8db0-4bce2b6297e4,decidual macrophage type 1,CL:0000235,macrophage
24088_8_305,31b31669-2518-4627-8bfc-fb18cca89b56,NA,NA,NA
24087_4_213,9d9acee4-98d4-432f-b191-08d7608e99ef,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_7_182,239edfc7-44e5-4280-8212-c4a35af27432,T cell,CL:0000084,T cell
24088_8_286,524e456b-6a37-4c9c-8a71-487c26af70fc,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
23728_3_308,670be81b-239b-4f5c-8c2d-75ca5045c072,NA,NA,NA
23728_3_258,909ad592-74ba-4f1f-aa49-6b3ff474953b,NA,NA,NA
24087_1_247,42fdad42-ec95-44cf-851d-5a14cf4c334b,NA,NA,NA
24087_8_259,a698579a-7921-404b-9c90-66a1ee0e1d8c,NA,NA,NA
24087_1_173,a4ca5ab6-e0e9-4892-b69c-4920305938c6,decidual macrophage type 1,CL:0000235,macrophage
24088_7_79,b6364291-7ecf-4777-a6ca-f310307b9762,NA,NA,NA
24087_8_258,bc42a4cc-07fd-49f2-b98b-465d36803f6e,NA,NA,NA
23728_8_323,a3cb9fd1-278f-41de-8d91-218da91b1eac,NA,NA,NA
24087_3_254,f2d9111b-32b1-429a-b2d4-305dd3ec55d5,decidual stromal cell type 1,CL:2000002,decidual cell
23728_4_11,06b7b842-3053-4511-ba52-19d739d20825,decidual macrophage type 1,CL:0000235,macrophage
24088_8_225,e222b44a-d146-438f-bb53-9857a50314b6,NA,NA,NA
24087_3_340,7c697340-952a-48e1-8cd3-8bafb4e20f18,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
24087_8_313,cfe78b60-a6df-4039-bfb1-44147c3383f0,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
23728_4_93,fd61ec4c-69d6-4bc4-b1fb-23e60a4feef1,T cell,CL:0000084,T cell
23728_5_147,c22bcc40-3968-410b-9c08-186da27b6842,decidual macrophage type 2,CL:0000235,macrophage
23728_5_71,17aeef5d-8c39-413f-9905-1a1dae681128,NA,NA,NA
24087_7_10,08cd9a95-0624-4739-9f98-dd3c8c88eab0,decidual macrophage type 2,CL:0000235,macrophage
23728_7_259,2fa9210d-2027-46b8-aedb-7904b58c0031,NA,NA,NA
23728_4_343,12f1b24a-2a6a-47a7-aac5-dea7bfd04ad0,NA,NA,NA
24087_2_234,6c8920bb-0cc8-4250-8234-5321d99c6cd9,decidual perivascular cell type 1,CL:0008033,decidual perivascular cell
24087_8_59,69f5c0dd-14cd-44f1-be2d-899c8dbe7bc2,T cell,CL:0000084,T cell
23728_5_248,5352d506-e162-4538-86e8-c82c66f71b02,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_4_380,c8f2d5c1-1835-4fbd-9b43-bb94d2c5bdec,NA,NA,NA
23728_3_250,fb1731fc-6bf6-4071-927a-4230f53533b5,decidual stromal cell type 3,CL:2000002,decidual cell
24088_8_264,fce6023d-56af-4a09-9149-67d18665a83b,villous cytotrophoblast cell,CL:2000060,placental villous trophoblast
24088_7_75,b93474ef-3020-402d-9c6c-3b523cadb1ec,NA,NA,NA
24087_4_291,853b66ff-6305-44b7-ab1a-688c016facd0,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_6_296,30bb21b2-7aa3-4765-877e-98399ff11b0f,NA,NA,NA
23728_6_209,94739277-fcba-4623-a454-b7354eb79566,NA,NA,NA
24087_5_130,c77c49a9-6b9b-4076-b8e0-7024e7cc29b0,decidual macrophage type 2,CL:0000235,macrophage
23728_3_51,cc7a590b-54bb-4625-90d6-35075a5a2758,decidual macrophage type 2,CL:0000235,macrophage
24088_8_41,067eabb8-37e8-486b-8d04-0902265ee79b,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
24087_7_291,fe4d765c-ee5a-4061-b7fd-63096624b290,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
23728_8_10,b325fd10-b3a4-4036-80e7-29819e3493f2,decidual macrophage type 1,CL:0000235,macrophage
24087_5_337,db56f5a8-7307-48ef-ae2f-b28664b5d7dc,decidual perivascular cell type 2,CL:0008033,decidual perivascular cell
23728_8_155,9d4b4257-9b5a-42d7-ab70-5743734f1ad6,T cell,CL:0000084,T cell
24087_6_73,590257e9-5a85-4807-949b-9989f18a7057,decidual macrophage type 2,CL:0000235,macrophage
24087_6_58,97be9bcd-6170-4eb1-a80e-898cd3e64382,decidual macrophage type 2,CL:0000235,macrophage
24087_4_326,a6c89c64-f863-465c-84e8-697dbfb69d5d,decidual stromal cell type 2,CL:2000002,decidual cell
24087_1_328,f3edc3d8-963b-45f3-a6c1-8e80a10f9645,fetal fibroblast type 1,CL:0000057,fibroblast
24087_2_10,3116f987-c5fb-457c-8590-1404c543c353,decidual macrophage type 1,CL:0000235,macrophage
23728_4_8,1eb6216e-5e41-4608-971b-abe184ddc785,decidual macrophage type 1,CL:0000235,macrophage
24088_7_200,224ee8f0-a3c9-4624-8595-aaf9fe18ebeb,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
23728_4_315,a72a19b7-8515-4cdd-9d9f-595f4e589511,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
24087_6_162,48e1e4a0-8387-4343-91d6-03d8c4abd1e9,T cell,CL:0000084,T cell
24087_5_72,be9ce12a-2d7a-4bed-9294-b7f737168dad,Hofbauer cell,CL:3000001,Hofbauer cell
23728_3_156,1b2716f7-b1e4-4b0b-bccf-774d6eeab61c,NA,NA,NA
24087_5_268,8010dfb1-b080-4d91-9f40-149ae96841b3,NA,NA,NA
24088_7_196,db101977-2ea7-486a-af90-9b4cf1f2a9d2,NA,NA,NA
24087_2_62,dce3e75f-084d-4e8d-a04e-5b0432edbb94,T cell,CL:0000084,T cell
24088_7_152,32eda3e8-2f8c-459a-bfeb-41be23abf2a0,NA,NA,NA
24087_4_148,b6a3b6d5-43e7-41b7-94dc-929274933c69,decidual macrophage type 1,CL:0000235,macrophage
24087_4_185,c1a06519-3eae-4991-bb86-17946b85127d,T cell,CL:0000084,T cell
24087_7_226,de882b62-b117-4870-83bc-86445683cb5b,NA,NA,NA
23728_7_317,692620dc-fd4a-478b-ad59-3517710be13a,decidual natural killer cell type 1,CL:0002343,decidual natural killer cell
23728_6_322,86474c42-5e80-4bfd-ac98-db8812a73dd3,NA,NA,NA
23728_8_172,62b57a1f-ae87-4af3-9ba4-7f4ff8361467,T cell,CL:0000084,T cell
23728_7_188,bc39f7d1-7988-4b5b-985b-f3bf6ec96b6a,T cell,CL:0000084,T cell
24087_8_226,f07e5804-516e-4bf8-bcb7-7e77b19cf506,decidual stromal cell type 2,CL:2000002,decidual cell
24087_3_255,92399447-becf-40a2-9416-7eedcea039c5,NA,NA,NA
23728_7_86,e62a3eb2-33a1-4f54-a2ee-7ebb59586c40,T cell,CL:0000084,T cell
24087_1_190,2d4c4b71-51b6-42a3-865b-db6b5897051d,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
24087_2_77,a8465e61-510b-4a68-aad4-78684460f74d,decidual macrophage type 1,CL:0000235,macrophage
24087_6_314,3fd695b5-a230-4085-a6b6-7a079490d599,T cell,CL:0000084,T cell
24087_5_355,feee3e26-51a9-4da4-a242-3e9940406035,placental extravillous trophoblast cell,CL:0008036,extravillous trophoblast cell
24088_7_92,b13249d9-56fa-48af-a201-283822121dbc,T cell,CL:0000084,T cell
24087_3_138,21090a50-bcb2-4297-866c-5c477077ce20,T cell,CL:0000084,T cell
24088_8_15,d5399d45-af9f-43d3-9786-021d83bd176d,T cell,CL:0000084,T cell
24087_4_95,ec30887a-31d0-4cfc-80ec-abb36185916e,decidual macrophage type 1,CL:0000235,macrophage
23728_8_244,90b2cc45-18b4-453b-b442-c033bf60b7a0,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
23728_3_36,5ac6a916-525a-4406-aa09-1c16ac9f4a43,T cell,CL:0000084,T cell
24087_8_255,7ba3bdea-ed76-4f87-af7a-729b4876d02a,NA,NA,NA
24087_8_285,91cc9482-8046-4338-84ed-bd08ce643724,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
23728_6_5,53fda848-559d-40b7-9bf1-0473b7bf3460,decidual macrophage type 2,CL:0000235,macrophage
24088_7_37,147692ca-e9c7-459c-a2c6-db72b48eed32,T cell,CL:0000084,T cell
24087_6_301,62b95fe2-fa57-4d2a-b294-0a97be799296,NA,NA,NA
24087_8_116,dd3bc7e6-1500-40c3-b34c-fa085a06d2e1,T cell,CL:0000084,T cell
24087_2_29,d412b904-37e2-44db-9be2-550284e60982,decidual macrophage type 1,CL:0000235,macrophage
24087_7_156,25f2dc64-4167-42a9-979c-150776f24b02,T cell,CL:0000084,T cell
24087_2_265,953cb191-bc7f-4146-b1b0-c45fd398f5f6,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
23728_3_29,122069a7-6ed0-4ecf-ade9-364cde902468,decidual macrophage type 1,CL:0000235,macrophage
23728_5_193,fcbc3302-38f9-4467-a750-df4c08fa808b,NA,NA,NA
23728_6_88,5d31250c-058d-4a1c-9b64-284de79c9285,T cell,CL:0000084,T cell
23728_5_306,cad28f06-40b5-475b-9629-6640399f87b0,decidual stromal cell type 1,CL:2000002,decidual cell
24088_7_359,0bc2d9a8-8ba6-4783-8d5b-23cca517dd6c,NA,NA,NA
24087_1_74,2b77505b-d8f6-4ca5-88c3-990c073307b5,decidual macrophage type 1,CL:0000235,macrophage
23728_8_318,41ddbd58-f3e2-4fc6-89ab-d33e198c406f,NA,NA,NA
24088_8_37,1cac3ec7-ba6b-4add-9635-ff539c06ad74,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24087_2_376,bb9a99fe-010d-4f0e-bd9c-77966c106b0f,glandular epithelial cell type 2,CL:0000150,glandular epithelial cell
24087_3_25,b45a7e29-e723-4a9d-b7dc-667737cd7926,decidual macrophage type 1,CL:0000235,macrophage
24087_3_325,1fb708d9-e6d3-4ef8-831f-bc923fa97a25,decidual stromal cell type 3,CL:2000002,decidual cell
23728_5_139,46caa171-5571-4596-be5b-442f63b39593,T cell,CL:0000084,T cell
23728_4_308,cc480e26-7214-4383-be47-109e1454ab04,decidual stromal cell type 1,CL:2000002,decidual cell
23728_8_372,c2ec30b4-f12f-4bb2-b177-d56e5917b0c8,NA,NA,NA
24087_8_167,5d90ccba-6fe3-447a-a26b-a59ceb9d017f,decidual macrophage type 2,CL:0000235,macrophage
24087_8_107,4139e8cc-483c-4a8b-abfa-9a1b3b06bf03,T cell,CL:0000084,T cell
24087_3_85,0d448778-cc32-48fa-8c9f-a438c5353964,T cell,CL:0000084,T cell
23728_7_293,545b7fd5-7a06-4591-8e00-b54c884941b3,NA,NA,NA
24087_4_266,87c8dc82-c2d6-4bf4-b7ae-075df8db7cae,NA,NA,NA
24088_8_191,8b5e7880-353b-4733-8ed7-45a3b3b1a210,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
23728_8_212,331f8613-9027-439c-82a6-235877adb33d,NA,NA,NA
24087_8_367,73930fab-1145-4d89-ad3c-8bb656826ffd,NA,NA,NA
24087_2_125,e537f174-0a1e-460f-99f8-da59effaee63,decidual macrophage type 1,CL:0000235,macrophage
