cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,cell_suspension.provenance.document_id
D26Dp28H02,nMGE.24.LHX8,475457ff-1d44-40c5-8d8f-1b2fe2ef66c8
D26Dp28H03,nMGE.24.LHX8,78f5dd6e-0337-4a3f-bf5f-264b94e7b3f0
D26Dp28H05,nMGE.24.LHX8,7ccb0dfb-a2c0-42a3-aac0-bc36c18819ff
D26Dp28H07,nMGE.24.LHX8,aac807a4-f1ad-478a-9a60-85e6ad1f5fc4
D26Dp28H08,nMGE.24.LHX8,3b26a003-e19f-4faf-9ddd-780f7a2fba30
D26Dp28H11,nMGE.24.LHX8,312be7fe-03dd-48ff-a901-a6830a6664dd
D26Dn6F03,nMGE.24.LHX8.GRIA2,9e70013e-ad19-4509-9f03-8705fcfad038
D26Dp4A04,nMGE.24.LHX8.GRIA2,404b1a0a-c59d-48d8-b987-d8409e8c76e0
D26Dp4A10,nMGE.24.LHX8.GRIA2,1940153d-14ec-40eb-8371-0be850b11d7d
D26Dp4B05,nMGE.24.LHX8.GRIA2,41966c2e-c782-4da1-8617-72b124881de6
D26Dp4B11,nMGE.24.LHX8.GRIA2,b597a8b2-2a94-4587-9a72-0f1c8d0806f9
D26Dp4C03,nMGE.24.LHX8.GRIA2,84a6c8a2-0664-41d5-a758-50263cf7dad0
D26Dp4C04,nMGE.24.LHX8.GRIA2,ac7409d6-6d85-4f50-b511-0377487696f4
D26Dp4C08,nMGE.24.LHX8.GRIA2,57d953d0-ad87-42f8-bcbd-171cb8bc8dc0
D26Dp4C09,nMGE.24.LHX8.GRIA2,7cfdca7a-509f-4412-970e-7f04f41e7fb9
D26Dp4C10,nMGE.24.LHX8.GRIA2,fdb45f17-92fb-4fcc-bef3-ea6da8584cf7
D26Dp4D08,nMGE.24.LHX8.GRIA2,9c7f19d8-4c8c-4a78-91a7-5d64550e93d7
D26Dp4D10,nMGE.24.LHX8.GRIA2,a5694c16-0fed-4d0e-9db6-6cc92a14c715
D26Dp4E03,nMGE.24.LHX8.GRIA2,20d9ee21-5c91-4f82-8649-a56b2d8fdd32
D26Dp4E08,nMGE.24.LHX8.GRIA2,19f61f8d-85c7-4953-9518-a3f421cb7504
