cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
23728_4_1,decidual macrophage (dM1),decidua,96efcc6f-2b55-4566-ae33-776ec7a868fc
23728_3_124,decidual macrophage (dM2),decidua,b3f28b83-0ad6-4dee-907f-8c43bc4fbee1
23728_4_328,NA,decidua,7a3502d0-2c73-4430-99db-94bd61c311cc
23728_8_19,T cell,decidua,da05db22-d182-4f03-b7ba-83ef1c2a8fbb
24088_7_185,NA,decidua,6e9c29d4-6e0f-4510-992b-090203e2924b
24087_1_51,decidual macrophage (dM1),decidua,821c341f-174f-4798-8e52-b6f068793410
24087_6_120,decidual macrophage (dM2),decidua,aa35e48a-cb06-4e7c-a869-1257d4901e0e
24087_7_258,NA,decidua,e230b073-619c-4659-9768-d38563beec4a
24087_2_116,T cell,decidua,de37915d-28cf-4f58-904a-5c24c7523235
23728_4_193,decidual natural killer cell (dNK1),decidua,bc92f48d-b593-4109-a617-f4271c170115
23728_7_115,T cell,decidua,6405ea40-2cad-4111-a210-4347f6c96667
23728_4_354,NA,decidua,ca62dd72-9af6-4eb0-8c5d-e4f03e11e420
23728_7_144,decidual macrophage (dM1),decidua,d0135f3f-cdda-4dc3-98d4-3c38115d2421
24088_4_246,NA,decidua,e19b83f7-0bfd-481c-8e3b-5797c1aa4c61
24087_1_66,T cell,decidua,7383e537-0e8a-46d3-8afe-109368b455f8
24087_3_132,T cell,decidua,6ce726bd-3bf0-42f4-a17e-8e2424f282e7
24087_7_203,NA,decidua,bf3ff046-1648-4417-8d97-408e335dc418
24087_6_150,decidual macrophage (dM2),decidua,e14b1e53-2a5e-4dd2-9272-7a5491002261
23728_3_340,decidual macrophage (dM1),decidua,4a851ef8-637f-452c-acce-a0590384b572
23728_6_248,NA,decidua,6d21b119-2d03-471c-ae9c-1520183eae1a
24088_8_133,T cell,decidua,d6d82b62-d088-4f2b-8be1-0f8f5ce0a717
24087_6_4,decidual macrophage (dM2),decidua,85576a40-65c2-46fa-b878-ba46e22030a2
23728_6_275,NA,decidua,81e46485-dae1-4f92-9655-f852b469fd0b
24087_5_229,NA,decidua,d9d60d9c-a729-4369-ab6d-97ea901db199
23728_6_166,T cell,decidua,9e44ece2-3edd-4a4d-bc66-64ce1d281232
24087_3_377,glandular epithelial cell (Epi2),decidua,f2f17d97-8aa0-4593-83b2-470c96ea787f
23728_5_165,T cell,decidua,bb2f4ad3-263d-4b12-baa0-b7c5d9c20e2f
24087_4_335,decidual natural killer cell (dNK3),decidua,469b05d0-9421-4cf0-bd41-8e23081bc57b
24087_1_346,decidual stromal cell (dS2),decidua,7fa95741-5a96-45da-9d5c-955f4b119526
24087_5_118,T cell,decidua,2b712bca-c57e-4952-a837-e46e4175d719
23728_7_7,decidual macrophage (dM2),decidua,ca28293c-27a6-4465-882b-dc94284ac0f4
24087_7_84,T cell,decidua,0ccc771a-1853-4a4c-9773-6c2604421f93
23728_7_168,decidual macrophage (dM2),decidua,510db307-c54a-41b1-84c0-948d5a0269ec
24087_5_29,decidual macrophage (dM2),decidua,bc186567-08eb-4bdc-9473-7bebe0019e03
23728_7_360,NA,decidua,40bbfe26-762a-48d2-9779-d2d53f49443e
24087_4_362,innate lymphoid cell (ILC3),decidua,ebc0a803-7d61-4f71-a58f-eced154bdfac
24087_4_210,NA,decidua,6ed7c725-854b-47f8-ba3d-e771e591c0a6
23728_5_182,NA,decidua,c405d3ed-39c6-4162-9f02-1576c3424875
24087_1_112,T cell,decidua,0dbd4dd0-8a64-48b5-a7e4-b5f1a0e4fa7c
24088_7_29,Hofbauer cell (HB),decidua,fa8fef3e-a8c6-4364-a5c7-55e0f7162436
24088_7_68,T cell,decidua,c90f39aa-5594-4448-baa1-7f4a908acb8a
