cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24088_3_357,5118e507-2114-4ecb-8e31-55efe9e190c9,NA,NA,NA
24088_5_182,5a8e29e6-5d6e-4846-bbbd-2d10a4759a37,CD16- natural killer cell,CL:0000938,"CD16-negative, CD56-bright natural killer cell"
24088_6_314,b4d0717e-5b29-40ef-9362-e0d47c792785,T cell,CL:0000084,T cell
24088_6_330,2920eac4-51b3-40e2-86eb-21eab747a032,monocyte,CL:0000576,monocyte
24088_5_118,497092c1-d1ac-4f19-9a19-54c84792565d,granulocyte,CL:0000094,granulocyte
24088_4_146,347fa01c-0183-4941-befe-db985b0e61b1,T cell,CL:0000084,T cell
24088_6_28,4bdd376d-0262-408c-8d6c-79c0337c25b5,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_6_315,1a3bf101-b999-408b-a85b-3d3cf2a6ef43,T cell,CL:0000084,T cell
24088_6_246,82129eb3-2c11-4a8a-a845-a3896d4d528b,T cell,CL:0000084,T cell
24088_5_370,35abce7c-5fc0-4987-a606-920531c2fde9,T cell,CL:0000084,T cell
24088_6_114,6700540b-cfc2-4550-b5a1-88eafcde0c35,monocyte,CL:0000576,monocyte
24088_3_213,8684d826-fa49-455f-ae1a-f51f1a1ea02d,T cell,CL:0000084,T cell
24088_5_113,294f69c0-8ef0-4d9b-bcde-9cf0abc096f9,monocyte,CL:0000576,monocyte
24088_3_285,f5723fa0-016d-4407-af6a-3ff0019b1ca9,NA,NA,NA
24088_5_199,f8ab9f45-5348-4fdc-b593-da4cf1c36262,monocyte,CL:0000576,monocyte
24088_3_354,cd68b2eb-f0ae-4e5a-b7cc-68544416e523,T cell,CL:0000084,T cell
24088_6_139,6882ef78-9ef6-444f-8cc6-c9efd2937da7,monocyte,CL:0000576,monocyte
24088_6_154,611cac09-e4c8-41fc-a572-8367e935bf8a,T cell,CL:0000084,T cell
24088_3_260,2c03d098-8921-4b4b-90fe-bbf1e9ddf7cd,T cell,CL:0000084,T cell
24088_6_82,62cf7b83-f1a1-426f-ab60-340c3f0bde9f,NA,NA,NA
24088_4_104,8f65cc31-67e7-4e8a-937c-ef59af0d0f9f,villous cytotrophoblast cell,CL:2000060,placental villous trophoblast
24088_6_54,cd6e4417-5767-407a-80f6-665cb100fd80,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_4_164,fad81ede-6a41-427c-91cc-239763e1f533,T cell,CL:0000084,T cell
24088_6_90,bd96958b-b6c5-41e0-9bc5-2e8e66e286fc,monocyte,CL:0000576,monocyte
24088_3_53,df68598c-1de2-4bd3-b6a8-b84415032d9e,T cell,CL:0000084,T cell
24088_6_312,cc86bc4a-dcf4-45e5-8e6e-d2c65d13bfa1,T cell,CL:0000084,T cell
24088_5_328,26d637c7-bbf8-44ab-9cc7-fb4e861744aa,T cell,CL:0000084,T cell
24088_6_286,e2c3f617-17c1-489c-b49b-4b16e38190d2,T cell,CL:0000084,T cell
24088_4_121,3583b6f5-9987-4715-a1a8-fd73bb35c6ad,T cell,CL:0000084,T cell
24088_6_66,646b13bb-2afe-4380-91fc-9a6ec7652901,monocyte,CL:0000576,monocyte
24088_3_41,b8984db8-0c93-434d-8476-89fa205d8f98,monocyte,CL:0000576,monocyte
24088_6_142,76097e08-bcab-46e9-9e43-eed3c35a8e09,monocyte,CL:0000576,monocyte
24088_6_372,35e26f13-df89-44cc-b365-d1b7aa772f93,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
24088_5_207,90737127-0671-421e-b4e4-a2096afbfd27,T cell,CL:0000084,T cell
24088_3_159,92764199-f471-44af-9915-d558fc4936a9,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
24088_5_141,da424c27-0dbc-4cc1-b410-0d6b9465c816,T cell,CL:0000084,T cell
24088_3_3,e19ce6dd-e339-4dc1-a6b4-bdeb7b563c22,T cell,CL:0000084,T cell
24088_5_138,f420683f-9527-42bb-aea6-2f3151a9bcf3,T cell,CL:0000084,T cell
24088_3_344,b01f6e67-0a5a-4dcd-8d2f-9f568808317c,CD16- natural killer cell,CL:0000938,"CD16-negative, CD56-bright natural killer cell"
24088_6_324,ff3409c4-e4df-4abb-b492-52908d7845bd,monocyte,CL:0000576,monocyte
24088_5_160,0ef69fa1-b257-4807-8d1f-4437c84caba5,T cell,CL:0000084,T cell
24088_6_141,f965db83-bccc-4a16-9b49-72c1cea62f9e,monocyte,CL:0000576,monocyte
24088_6_319,87bc8d45-c918-4d0c-b765-3a379c527734,T cell,CL:0000084,T cell
24088_4_176,40523fbb-67b3-4a3a-97d1-5056db266507,CD16- natural killer cell,CL:0000938,"CD16-negative, CD56-bright natural killer cell"
24088_5_20,e85e547d-e4f8-4414-9943-ff710c874fa0,T cell,CL:0000084,T cell
24088_3_43,67c47431-027e-475c-af0f-6639277c21a5,monocyte,CL:0000576,monocyte
24088_3_324,bc0c9a77-9f12-426c-912a-3bcb105ba767,T cell,CL:0000084,T cell
24088_3_51,fa6089a0-5c49-4eef-aa1b-dda15b1da73e,T cell,CL:0000084,T cell
24088_5_267,f9666c45-6d90-48e7-8e6b-894e5e66da03,monocyte,CL:0000576,monocyte
24088_5_36,ab63f882-e0a9-430d-9234-0d8da5b5a7f4,CD16+ natural killer cell,CL:0000939,"CD16-positive, CD56-dim natural killer cell"
24088_5_374,0b331340-b511-411b-88e5-1c4334858666,T cell,CL:0000084,T cell
24088_5_187,feb29835-2a97-4084-8f35-8ff98912b3e9,T cell,CL:0000084,T cell
24088_4_21,92793de8-053a-48a0-96af-efcdaba99a66,T cell,CL:0000084,T cell
24088_5_340,116baeb4-4d03-47c1-a7d7-91b49ea92372,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
