cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
24088_6_33,CD16-positive natural killer cell (NK CD16+),blood,54393759-df94-48f9-914f-54b2c0ca1321
24088_3_270,villous cytotrophoblast (VCT),blood,121992dc-a627-47c1-a601-fd8aceef1943
24088_3_271,monocyte,blood,40217bd0-a5d2-4d7f-acd4-2194f658d0d0
24088_3_202,T cell,blood,992d0907-5a56-45f8-9479-bff4574fafb9
24088_5_165,T cell,blood,e4cd8a28-46a3-4b2b-86f5-9865b522e34f
24088_3_46,monocyte,blood,8d07bb63-d2fe-4f88-a0da-12d732276e0a
24088_6_15,monocyte,blood,f5a324ae-025d-495a-9cf1-61b5b3e2499a
24088_6_260,monocyte,blood,b9800614-9ec8-45f3-9999-ae095190bc3f
24088_5_54,T cell,blood,29ac0339-52f3-457e-a7f9-343904ecaf55
24088_3_237,T cell,blood,1e3b6aea-7807-4fd3-87cb-081c1b665dd9
24088_3_5,T cell,blood,65859e2c-8217-4041-86da-e110b00296d8
24088_6_305,monocyte,blood,8298f5ec-a792-471f-8761-8a6fa38d7d0e
24088_6_18,monocyte,blood,2714fb9a-1288-4eea-9cf8-39e2ab15cd5b
24088_6_339,CD16-positive natural killer cell (NK CD16+),blood,fd26e4f4-e47e-4aae-8932-f5ad88f3eeb5
24088_6_12,monocyte,blood,5e02ed7f-5561-4363-910a-5284dec8d8fc
24088_3_255,T cell,blood,c2435ddd-9479-432f-82a0-8909a729c1de
24088_6_375,plasmacytoid dendritic cell (DC2),blood,d3a59cb4-e463-4258-bab7-648c1858db0d
24088_4_159,T cell,blood,8ef245d9-92ba-4f60-9ced-40249efafc9a
24088_3_328,T cell,blood,d343442d-c05c-4da5-8150-4b372bca24a2
24088_6_280,monocyte,blood,49484708-8a32-4fb6-bb3d-81b40832933b
24088_3_276,T cell,blood,14638b34-44f3-4dff-a3dd-543f3ad1d6b8
24088_3_224,CD16-positive natural killer cell (NK CD16+),blood,74eac61c-ca6b-4456-a757-88791d258af4
